SKILL_20150317_000001	攻击
SKILL_20150317_002705	王冠 : 强化 3
SKILL_20150317_002706	[王冠] 伤害 is 强化d to Highlanderer Circle 3.
SKILL_20150317_002707	车轮斩 : 强化 2
SKILL_20150317_002708	[车轮斩] 伤害 is 强化d to Highlanderer Circle 2.
SKILL_20150317_002709	车轮斩: 强化 3
SKILL_20150317_002710	伤害 of [车轮斩] is 强化d to Highlanderer Circle 3.
SKILL_20150317_002711	十字守护 : 强化 2
SKILL_20150317_002712	Defense 增加 effect of [十字守护] is 强化d to Highlanderer Circle 2.
SKILL_20150317_002713	十字守护 : 强化 3
SKILL_20150317_002714	Defense 增加 effect of [十字守护] is 强化d to Highlanderer Circle 3.
SKILL_20150317_002715	Moulient : 强化 2
SKILL_20150317_002716	伤害 of [连续斩] is 强化d to Highlanderer Circle 3.
SKILL_20150317_002717	长矛刺击 : 强化 2
SKILL_20150317_002718	伤害 of [长矛刺击] is 强化d to Hoplite Circle 2.
SKILL_20150317_002719	长矛刺击 : 强化 3
SKILL_20150317_002720	伤害 of [长矛刺击] is 强化d to Hoplite Circle 3.
SKILL_20150317_002721	长矛冲击 : 强化_
SKILL_20150317_002722	伤害 of [长矛冲击] is 强化d to Hoplite Circle 2.
SKILL_20150317_002723	长矛冲击 : 强化 2
SKILL_20150317_002724	伤害 of [长矛冲击]] is 强化d to Hoplite Circle 3.
SKILL_20150317_002725	双手攻击 : 强化 2
SKILL_20150317_002726	伤害 of [双手攻击] is 强化d to Hoplite Circle 2.
SKILL_20150317_002727	双手攻击: 强化 3
SKILL_20150317_002728	伤害 of [双手攻击]] is 强化d to Hoplite Circle 3.
SKILL_20150317_002729	刺穿 : 强化 2
SKILL_20150317_002730	伤害 of [刺穿] is 强化d to Hoplite Circle 2.
SKILL_20150317_002731	刺穿 : 强化 3
SKILL_20150317_002732	伤害 of [刺穿] is 强化d to Hoplite Circle 3.
SKILL_20150317_002733	散射 : 强化 2
SKILL_20150317_002734	伤害 of [散射] is 强化d to 范围r Circle 2.
SKILL_20150317_002735	散射 : 强化 3
SKILL_20150317_002736	伤害 of [散射] is 强化d to 范围r Circle 3.
SKILL_20150317_002737	贯通箭 : 强化 2
SKILL_20150317_002738	伤害 of [贯通箭] is 强化d to 范围r Circle 2.
SKILL_20150317_002739	贯通箭 : 强化 3
SKILL_20150317_002740	伤害 of [贯通箭] is 强化d to 范围r Circle 3.
SKILL_20150317_002741	弹跳射击 : 强化 2
SKILL_20150317_002742	伤害 of [弹跳射击] is 强化d to 范围r Circle 2.
SKILL_20150317_002743	弹跳射击 : 强化 3
SKILL_20150317_002744	伤害 of [弹跳射击] is 强化d to 范围r Circle 3.
SKILL_20150317_002745	稳定瞄准 : 强化 2
SKILL_20150317_002746	Additional 伤害 effect [稳定瞄准] is 增加d to 范围r Circle 2.
SKILL_20150317_002747	稳定瞄准 : 强化 3
SKILL_20150317_002748	Additional 伤害 effect [稳定瞄准] is 增加d to 范围r Circle 3.
SKILL_20150317_002749	铁蒺藜 : 强化 2
SKILL_20150317_002750	[铁蒺藜i] 伤害 is 强化d to Quarrel Shooter Circle 2.
SKILL_20150317_002751	铁蒺藜 : 强化 3
SKILL_20150317_002752	[铁蒺藜] 伤害 is 强化d to Quarrel shooter Circle 3.
SKILL_20150317_002753	石弹射击 : 强化 2
SKILL_20150317_002754	伤害 of [石弹射击] is 强化d to Quarrel Shooter Circle 2.
SKILL_20150317_002755	石弹射击 : 强化 3
SKILL_20150317_002756	伤害 of [石弹射击] is 强化d to Quarrel Shooter Circle 3.
SKILL_20150317_002757	急速射击 : 强化 2
SKILL_20150317_002758	伤害 of [急速射击] is 强化d to Quarrel Shooter Circle 2.
SKILL_20150317_002759	伤害 of [急速射击] is 强化d to Quarrel shooter Circle 3.
SKILL_20150317_002760	Zaibas : 强化 2
SKILL_20150317_002761	伤害 of [Zaibas] is 强化d to Krivi Circle 2.
SKILL_20150317_002762	Zaibas : 强化 3
SKILL_20150317_002763	伤害 of [Zaibas] is 强化d in Krivi Circle 3.
SKILL_20150317_002764	Blessing : 强化
SKILL_20150317_002765	Additional 伤害 of [Blessing] 增加 每特性等级
SKILL_20150317_002766	Aspersion : 强化 2
SKILL_20150317_002767	[Aspersion] 伤害 is 强化d to Priest Circle 2.
SKILL_20150317_002768	Aspersion : 强化 3
SKILL_20150317_002769	[Aspersion] 伤害 is 强化d to Priest Circle 3.
SKILL_20150317_002770	Sacrament : 强化_
SKILL_20150317_002771	圣 Attribute 攻击 增加 of [Sacrament] is 强化d to Priest Circle 2.
SKILL_20150317_002772	Sacrament : 强化 2
SKILL_20150317_002773	圣 Attribute 攻击 增加 of [Sacrament] is 强化d to Priest Circle 3.
SKILL_20150317_002774	Blessing : 强化 2
SKILL_20150317_002775	Additional 伤害 effect of [Blessing] 增加 to Priest Circle 2.
SKILL_20150317_002776	Blessing : 强化 3
SKILL_20150317_002777	Additional 伤害 effect of [Blessing] 增加 to Priest Circle 3.
SKILL_20150317_002778	Warcry : 强化
SKILL_20150317_002779	Additional 物理 伤害 of [Warcry]增加 每特性等级. (this attribute applies after the opponent's defense is 减少d.)
SKILL_20150317_002780	Warcry : 强化_
SKILL_20150317_002781	物理 攻击 增加 effect of [Warcry] is 强化d to Barbarian Circle 2. (This Attribute will be applied after the 敌人's defense force has been reduced.)
SKILL_20150317_002782	Warcry : 强化 2
SKILL_20150317_002783	物理 攻击 增加 effect of [Warcry] is 强化d to Barbarian Circle 3. (This Attribute will be applied after the 敌人'sdefense force has been reduced.)
SKILL_20150317_002784	Frenzy : 强化
SKILL_20150317_002785	物理 伤害 of [Frenzy] 增加 每特性等级
SKILL_20150317_002786	Frenzy : 强化 2
SKILL_20150317_002787	物理 攻击 增加 effect of [Frenzy] is 强化d to Barbarian Circle 2.
SKILL_20150317_002788	Frenzy : 强化 3
SKILL_20150317_002789	物理 攻击 增加 effect of [Frenzy] is 强化d to Barbarian Circle 3.
SKILL_20150317_002790	Telekinesis : 强化 2
SKILL_20150317_002791	[Telekinesis] 伤害 is 强化d to Psychokino Circle 2.
SKILL_20150317_002792	Telekinesis : 强化 3
SKILL_20150317_002793	[Telekinesis] 伤害 is 强化d to Psychokino Circle 3.
SKILL_20150317_002794	Psychic Pressure : 强化 2
SKILL_20150317_002795	[Psychic pressure] 伤害 is 强化d to Psychokino Circle 2.
SKILL_20150317_002796	Psychic Pressure : 强化 3
SKILL_20150317_002797	[Psychic pressure] 伤害 is 强化d to Psychokino Circle 3.
SKILL_20150317_002798	Magnetic Force : 强化_
SKILL_20150317_002799	[Magnetic Force] 伤害 is 强化d to Psychokino Circle 2.
SKILL_20150317_002800	Magnetic Force : 强化 2
SKILL_20150317_002801	[Magnetic Force] 伤害 is 强化d to Psychokino Circle 3.
SKILL_20150317_002802	扫荡陷阱 : 强化 2
SKILL_20150317_002803	伤害 of [扫荡陷阱] is 强化d to Sapper Circle 2.
SKILL_20150317_002804	扫荡陷阱 : 强化 3
SKILL_20150317_002805	伤害 of [扫荡陷阱] is 强化d to Sapper Circle 3.
SKILL_20150317_002806	Claymore : 强化 2
SKILL_20150317_002807	伤害 of [Claymore] is 强化d to Sapper Circle 2.
SKILL_20150317_002808	Claymore : 强化 3
SKILL_20150317_002809	伤害 of [Claymore] is 强化d to Sapper Circle 3.
SKILL_20150317_002810	尖竹钉陷阱 : 强化 2
SKILL_20150317_002811	伤害 of [尖竹钉陷阱] is 增加d to Circle 2.
SKILL_20150317_002812	尖竹钉陷阱 : 强化 3
SKILL_20150317_002813	伤害 of [尖竹钉陷阱] is 增加d to Circle 2.
SKILL_20150317_002814	引爆陷阱 : 强化 2
SKILL_20150317_002815	伤害 of [引爆陷阱] is 强化d to Sapper Circle 2.
SKILL_20150317_002816	引爆陷阱 : 强化 3
SKILL_20150317_002817	伤害 of [引爆陷阱] is 强化d to Sapper Circle 3.
SKILL_20150317_002818	Carve : 强化 2
SKILL_20150317_002819	伤害 of [Carve] is 强化d to Dievdirbys Circle 2.
SKILL_20150317_002820	Carve : 强化 3
SKILL_20150317_002821	伤害 of [Carve] is 强化d to Dievdirbys Circle 3.
SKILL_20150317_002822	Carve Owl : 强化_
SKILL_20150317_002823	伤害 of [Owl image] is 强化d to Dievdirbys Circle 2.
SKILL_20150317_002824	Carve Owl : 强化 2
SKILL_20150317_002825	伤害 of [Owl image] is 强化d to Dievdirbys Circle 2.
SKILL_20150317_002826	Effigy : 强化 2
SKILL_20150317_002827	伤害 of [Effigy] is 强化d to Bokor Circle 2.
SKILL_20150317_002828	Effigy : 强化 3
SKILL_20150317_002829	伤害 of [Effigy] is 强化d to Bokor Circle 3.
SKILL_20150317_002830	Damballa : 强化 2
SKILL_20150317_002831	伤害 of [Damballa] is 强化d to Bokor Circle 2.
SKILL_20150317_002832	Damballa : 强化 3
SKILL_20150317_002833	伤害 of [Damballa] is be 强化d to Bokor Circle 3.
SKILL_20150317_002834	Mackangdal: Cumulative 伤害 reduction
SKILL_20150317_002835	The cumulative 伤害 of [Mackangdal] 减少 by 2 每特性等级.
SKILL_20150317_002836	Aukuras : 强化
SKILL_20150317_002837	HP 恢复 of [Aukuras] 增加 每特性等级
SKILL_20150317_002838	Aukuras : 强化 2
SKILL_20150317_002839	HP 恢复 增加 of [Aukuras] is 强化d to Krivi Circle 2.
SKILL_20150317_002840	Aukuras : 强化 3
SKILL_20150317_002841	HP 恢复 增加 of [Aukuras] is 强化d in Krivi Circle 3.
SKILL_20150317_002842	Shield Charge : 强化
SKILL_20150317_002843	伤害 of [Shield Charge] 增加 每特性等级
SKILL_20150317_002844	Shield Charge : 强化 2
SKILL_20150317_002845	伤害 of [Shield Charge] is 强化d to Rodelero Circle 2.
SKILL_20150317_002846	Shield Charge : 强化 3
SKILL_20150317_002847	伤害 of [Shield Charge] is 强化d to Rodelero Circle 3.
SKILL_20150317_002848	横砍 : 强化
SKILL_20150317_002849	伤害 of [横砍] 增加 每特性等级.
SKILL_20150317_002850	横砍 : 强化 2
SKILL_20150317_002851	[横砍] 伤害 is 强化d to Rodelero Circle 2.
SKILL_20150317_002852	横砍 : 强化 3
SKILL_20150317_002853	伤害 of [横砍] is 强化d to Rodelero Circle 3.
SKILL_20150317_002854	盾牌猛击 : 强化
SKILL_20150317_002855	伤害 of [盾牌猛击] 增加 每特性等级
SKILL_20150317_002856	盾牌猛击 : 强化 2
SKILL_20150317_002857	[盾牌猛击] 伤害 is 强化d to Rodelero Circle 2.
SKILL_20150317_002858	盾牌猛击 : 强化 3
SKILL_20150317_002859	[盾牌猛击] 伤害 is 强化d to Rodelero Circle 3.
SKILL_20150317_002860	盾牌推撞 : 强化
SKILL_20150317_002861	伤害 of [盾牌推撞] 增加 每特性等级
SKILL_20150317_002862	盾牌推撞 : 强化 2
SKILL_20150317_002863	伤害 of [盾牌推撞] is 强化d to Rodelero Circle 2.
SKILL_20150317_002864	盾牌推撞 : 强化 3
SKILL_20150317_002865	伤害 of [盾牌推撞] is 强化d to Rodelero Circle 3.
SKILL_20150317_002866	Rush : 强化
SKILL_20150317_002867	伤害 of [Rush] 增加 每特性等级
SKILL_20150317_002868	Rush: 伤害 to Circle 2
SKILL_20150317_002869	[Rush] 伤害 is 强化d to food Tafurakuto Circle 2.
SKILL_20150317_002870	攻击: 伤害 to Circle 3
SKILL_20150317_002871	[Rush] 伤害 is 强化d to food Tafurakuto Circle 3.
SKILL_20150317_002872	Impaler : 强化
SKILL_20150317_002873	伤害 of [Impaler] 增加 每特性等级
SKILL_20150317_002874	Impaler : 强化 2
SKILL_20150317_002875	[Impaler] 伤害 is 强化d to food Tafurakuto Circle 2.
SKILL_20150317_002876	Impaler : 强化 3
SKILL_20150317_002877	[Impaler] 伤害 is 强化d to food Tafurakuto Circle 3.
SKILL_20150317_002878	Meteor : 强化
SKILL_20150317_002879	伤害 of [Meteor] 增加 每特性等级
SKILL_20150317_002880	Meteor : 强化_
SKILL_20150317_002881	伤害 of [Meteor] 增加 to Elementalist Circle 2
SKILL_20150317_002882	Meteor: 强化 2
SKILL_20150317_002883	伤害 of [Meteor] 增加 to Elementalist Circle 2
SKILL_20150317_002884	Prominence: 强化
SKILL_20150317_002885	伤害 of [Prominence] 增加 每特性等级
SKILL_20150317_002886	Prominence: 强化 2
SKILL_20150317_002887	伤害 of [Prominence] is 强化d to Elementalist Circle 2.
SKILL_20150317_002888	Prominence: 强化 3
SKILL_20150317_002889	伤害 of [Prominence] is 强化d to Elementalist Circle 3.
SKILL_20150317_002890	Hail: 强化
SKILL_20150317_002891	伤害 of [Hail] 增加 每特性等级
SKILL_20150317_002892	Hail: 强化 2
SKILL_20150317_002893	伤害 of [Hail] is 强化d to Elementalist Circle 3.
SKILL_20150317_002894	Hail: 强化 3
SKILL_20150317_002895	伤害 of [Hail] is 强化d to Elementalist Circle 2.
SKILL_20150317_002896	Electrocute: 强化
SKILL_20150317_002897	伤害 of [Electrocute] 增加 每特性等级
SKILL_20150317_002898	Electrocute: 强化 2
SKILL_20150317_002899	[Electrocute] 伤害 is 强化d by Elemental Listing 2 Circle level.
SKILL_20150317_002900	Electrocute: 强化 3
SKILL_20150317_002901	[Electrocute] 伤害 is 强化d by Elemental Listing 3 Circle level.
SKILL_20150317_002902	Swell Right Arm: 强化
SKILL_20150317_002903	攻击 of [Swell Right Arm] is 强化d 每特性等级
SKILL_20150317_002904	Swell Right Arm: 强化 2
SKILL_20150317_002905	[Swell Right Arm] 攻击 增加 effect is 强化d to Thaumaturge Circle 2.
SKILL_20150317_002906	Swell Right Arm: 强化 3
SKILL_20150317_002907	[Swell Right Arm] 攻击 增加 effect is 强化d to Thaumaturge Circle 3.
SKILL_20150317_002908	Arrow Sprinklei: 伤害
SKILL_20150317_002909	伤害 of [Arrow Sprinkle] 增加 每特性等级
SKILL_20150317_002910	Arrow Sprinkle: 伤害 to Circle 3
SKILL_20150317_002911	伤害 of [Arrow Sprinkle] is 强化d to 范围r Circle 3.
SKILL_20150317_002912	暴击射击: 强化
SKILL_20150317_002913	伤害 of [暴击射击] 增加 每特性等级
SKILL_20150317_002914	暴击射击: 强化 2
SKILL_20150317_002915	[暴击射击] 伤害 is 强化d to 范围r Circle 2.
SKILL_20150317_002916	暴击射击: 强化 3
SKILL_20150317_002917	[暴击射击] 伤害 is 强化d to 范围r Circle 3.
SKILL_20150317_002918	定时炸弹箭: 强化
SKILL_20150317_002919	伤害 of [定时炸弹箭] 增加 每特性等级
SKILL_20150317_002920	定时炸弹箭: 强化 2
SKILL_20150317_002921	伤害 of the Time Spring Arrow] is 强化d to 范围r Circle 3.
SKILL_20150317_002922	Ballista: 伤害
SKILL_20150317_002923	伤害 of [Ballista] 增加 每特性等级
SKILL_20150317_002924	Ballistar: 伤害 to Circle
SKILL_20150317_002925	伤害 of [Ballista] is 强化d to Sapper Circle 2.
SKILL_20150317_002926	Ballista: 伤害 to Circle 3
SKILL_20150317_002927	伤害 of [Ballista] is 强化d to Sapper Circle 3.
SKILL_20150317_002928	Needle Blow: 强化
SKILL_20150317_002929	伤害 of [Needle Blow] 增加 每特性等级
SKILL_20150317_002930	Needle Blow: 强化 2
SKILL_20150317_002931	[Needle Blowi] 伤害 is 强化d in the Mugosa Circle 2.
SKILL_20150317_002932	Needle Blow: 强化 3
SKILL_20150317_002933	伤害 of [Needle Blow] is 强化d in the Mugosa Circle 3.
SKILL_20150317_002934	Wugong Gu: 强化
SKILL_20150317_002935	伤害 of [Wugong Gu] 增加 每特性等级
SKILL_20150317_002936	Wugong Gu : 强化 2
SKILL_20150317_002937	[Wugong Gu] 伤害 is 强化d in the Mugosa Circle 2.
SKILL_20150317_002938	Wugong Gu : 强化 3
SKILL_20150317_002939	[Wugong Gu] 伤害 is 强化d in the Mugosa Circle 3.
SKILL_20150317_002940	Throw Gu Pot: 强化
SKILL_20150317_002941	伤害 of [Throw Gu Pot] 增加 每特性等级
SKILL_20150317_002942	Throw Gu Pot: 强化 _
SKILL_20150317_002943	[Throw Gu Pot] 伤害 is 强化d in the Mugosa Circle 2.
SKILL_20150317_002944	Throw Gu Pot: 强化 2
SKILL_20150317_002945	[Throw Gu Pot] 伤害 is 强化d in the Mugosa Circle 3.
SKILL_20150317_002946	Flu Flu: 强化
SKILL_20150317_002947	伤害 of [Flu Flu] 增加 每特性等级
SKILL_20150317_002948	Influenza flu: 强化 2
SKILL_20150317_002949	伤害 of [Flu flu] is 强化d to Scout Circle 2.
SKILL_20150317_002950	Flu Flu: 强化 3
SKILL_20150317_002951	伤害 of [Flu Flu] is 强化d to scout Circle 3.
SKILL_20150317_002952	燃烧 shot: 强化
SKILL_20150317_002953	伤害 of [燃烧 Shot] 增加 每特性等级
SKILL_20150317_002954	燃烧 shot: 强化 2
SKILL_20150317_002955	伤害 of [燃烧 shot] will be 强化d to Scout Circle 2.
SKILL_20150317_002956	Bwa Kayiman: 强化
SKILL_20150317_002957	伤害 of [Bwa Kayiman] 增加 每特性等级
SKILL_20150317_002958	Bwa Kayiman: 强化 _
SKILL_20150317_002959	伤害 of [Bwa Kayiman] is 强化d to Bokor Circle 2.
SKILL_20150317_002960	Bwa Kayiman: 强化 2
SKILL_20150317_002961	伤害 of [Bwa Kayiman] is 强化d to Bokor Circle 3.
SKILL_20150317_002962	Astral Body Explosion : 强化
SKILL_20150317_002963	伤害 of [Astral Body Explosion] 增加 每特性等级
SKILL_20150317_002964	Possession: 强化
SKILL_20150317_002965	伤害 of [Possession] 增加 每特性等级
SKILL_20150317_002966	Possession: 强化 2
SKILL_20150317_002967	伤害 of [Possession] is 强化d to Sadhu Circle 3.
SKILL_20150317_002968	Body Basic 攻击 : 强化
SKILL_20150317_002969	Basic 攻击 伤害 增加 每特性等级 during spirit mode.
SKILL_20150317_002970	Ectoplasm 攻击: 伤害 to Circle 2
SKILL_20150317_002971	伤害 of [Ectoplasm 攻击] is 强化d to Sadhu Circle 2.
SKILL_20150317_002972	Ectoplasm 攻击: 伤害 to Circle 2
SKILL_20150317_002973	伤害 of [Ectoplasm 攻击] is 强化d to Sadhu Circle 3.
SKILL_20150317_002974	Restoration: 强化
SKILL_20150317_002975	HP 恢复 effect of [Restoration] 增加 每特性等级
SKILL_20150317_002976	Restoration: 强化 2
SKILL_20150317_002977	HP 恢复 增加 of [Restoration] is 强化d to Paladin Circle 2.
SKILL_20150317_002978	Restoration: 强化 3
SKILL_20150317_002979	HP 恢复 增加 of [Restoration] is 强化d to Paladin Circle 3.
SKILL_20150317_002980	Smite: 强化
SKILL_20150317_002981	伤害 of [Smite] 增加 每特性等级
SKILL_20150317_002982	Smite : 强化 2
SKILL_20150317_002983	伤害 of the [Smite] is 强化d to Paladin Circle 2.
SKILL_20150317_002984	Smite: 强化 3
SKILL_20150317_002985	伤害 of the [Smite] is 强化d to Paladin Circle 3.
SKILL_20150317_002986	Embowel: 强化
SKILL_20150317_002987	伤害 of [Embowel] 增加 每特性等级
SKILL_20150317_002988	Embowel: 强化 2
SKILL_20150317_002989	伤害 of [Embowel] is 强化d to Babarian Circle 2.
SKILL_20150317_002990	Embowel: 强化 3
SKILL_20150317_002991	伤害 of [Embowel] is 强化d to Babarian Circle 3.
SKILL_20150317_002992	Stomping Kick: 强化
SKILL_20150317_002993	伤害 of [Stomping Kick] 增加 每特性等级
SKILL_20150317_002994	Earth Wave: 强化
SKILL_20150317_002995	伤害 of [Earth Wave] 增加 每特性等级
SKILL_20150317_002996	Earth Wave : 强化 2
SKILL_20150317_002997	伤害 of [Earth Wave] is 强化d to Cataphract circle 2.
SKILL_20150317_002998	Earth Wave: 强化 3
SKILL_20150317_002999	伤害 of [Earth Wave] is 强化d to Cataphract circle 3.
SKILL_20150317_003000	Stead Charge: 强化
SKILL_20150317_003001	伤害 of [Stead Charge] 增加 每特性等级
SKILL_20150317_003002	Stead Charge: 强化 2
SKILL_20150317_003003	伤害 of [Stead Charge] is 强化d to Cataphract circle 2.
SKILL_20150317_003004	Stead Charge: 强化 3
SKILL_20150317_003005	伤害 of [Stead Charge] is 强化d to Cataphract circle 3.
SKILL_20150317_003006	Doom Spike: 强化
SKILL_20150317_003007	伤害 of [Doom Spike] 增加 每特性等级
SKILL_20150317_003008	Doom Spike : 伤害 to Circle 2
SKILL_20150317_003009	伤害 of [Doom Spike] is 强化d to Cataphract circle 2.
SKILL_20150317_003010	Doom Spike: 强化 2
SKILL_20150317_003011	伤害 of [Doom Spike] is 强化d to Cataphract circle 3.
SKILL_20150317_003012	Zombify : Large Zombie
SKILL_20150317_003013	Chance of creating large zombies when zombifying monsters 增加 by 1% 每特性等级.
SKILL_20150317_003014	Zombify : Wheelchair Zombie
SKILL_20150317_003015	Chance of wheelchair zombie when creating zombies 增加 by 1% 每特性等级
SKILL_20150317_003016	燃烧 shot: 强化 3
SKILL_20150317_003017	伤害 of [燃烧 Shot] is 强化d to Scout Circle 3.
SKILL_20150317_003018	Astral Body Explosion: 强化 2
SKILL_20150317_003019	伤害 of [Astral Body Explosion] is 强化d to Sadhu Circle 2.
SKILL_20150317_003020	Astral Body Explosion: 强化 3
SKILL_20150317_003021	伤害 of [Astral Body Explosion] is 强化d to Sadhu Circle 3.
SKILL_20150317_003022	Use one-hand sword
SKILL_20150317_003023	[One-hand Sword] is based weapon it is possible to wear
SKILL_20150317_003024	Use Two hand sword
SKILL_20150317_003025	[Both hands sword] series weapon will be available to wearing
SKILL_20150317_003026	Use of one hand spear
SKILL_20150317_003027	[One hand window] series weapon will be available to wearing
SKILL_20150317_003028	Use two-hand spear
SKILL_20150317_003029	Can use [Two hand Spear] type weapons.
SKILL_20150317_003030	Use Bow
SKILL_20150317_003031	Can use [Bow] type weapons.
SKILL_20150317_003032	Use Crossbow
SKILL_20150317_003033	Can use [Crossbow] type weapons.
SKILL_20150317_003034	Use Rod
SKILL_20150317_003035	Can use [Rod] type weapons.
SKILL_20150317_003036	Use Staff
SKILL_20150317_003037	Can use [Staff] type weapons.
SKILL_20150317_003038	Use Mace
SKILL_20150317_003039	Can use [Mace] type weapons.
SKILL_20150317_003040	Use w以及
SKILL_20150317_003041	Can use [W以及] type weapons.
SKILL_20150323_003042	剑柄敲打
SKILL_20150323_003043	Double 斩击
SKILL_20150323_003044	Skull Swing
SKILL_20150323_003045	Open item durability repair shop
SKILL_20150323_003046	Install basecamp
SKILL_20150323_003047	Install basecamp for party members. Personal Storage can be used 以及 buff time 增加.
SKILL_20150323_003048	Intall food distribution table
SKILL_20150323_003049	Snow Rolling
SKILL_20150323_003050	Swell Brain
SKILL_20150323_003051	Rain
SKILL_20150323_003052	Rain.
SKILL_20150323_003053	Summon Familiar Spirit
SKILL_20150323_003054	Summon suicidal troop.
SKILL_20150323_003055	Gem Roasting
SKILL_20150323_003056	Open shop to 强化 gem. Penalty stats of upgraded gems derease.
SKILL_20150323_003057	Synthesize two weapons to change basic weapon stats. Weapon stats may be better or worse. Item used as material will be consumed.
SKILL_20150323_003058	Create potion through alchemy.
SKILL_20150323_003059	Item Awakening
SKILL_20150323_003060	击退 Shot
SKILL_20150323_003061	Dual Shot
SKILL_20150323_003062	Break Pavise
SKILL_20150323_003063	Crossbow Moving Shot
SKILL_20150323_003064	Conceal
SKILL_20150323_003065	continuous type trap
SKILL_20150323_003066	Spike Shooter
SKILL_20150323_003067	Collar Bomb
SKILL_20150323_003068	Growling
SKILL_20150323_003069	Capture
SKILL_20150323_003070	Evasion
SKILL_20150323_003071	Vendetta
SKILL_20150323_003072	Lachrymator
SKILL_20150323_003073	Backstep
SKILL_20150323_003074	Fade
SKILL_20150323_003075	Guardian Saint
SKILL_20150323_003076	Revive
SKILL_20150323_003077	Exorcise
SKILL_20150323_003078	Golden Finger Flick
SKILL_20150323_003079	Golden Bell Shield
SKILL_20150323_003080	Descerning Evil
SKILL_20150323_003081	Resetting
SKILL_20150323_003082	Death Sentence
SKILL_20150323_003083	Blocked state of Incapable of Combate once.
SKILL_20150323_003084	Throw left-hand weapon
SKILL_20150323_003085	Resist Elements
SKILL_20150323_003086	Critical rate is higher when 攻击ing from behind.
SKILL_20150323_003087	Periodic 减少 of SP 以及 伤害
SKILL_20150323_003088	Remove harmful effects
SKILL_20150323_003089	Periodic SP 减少 state
SKILL_20150323_003090	Throw right-hand weapon
SKILL_20150323_003091	Evasion rate 减少
SKILL_20150323_003092	Evasion rate 增加
SKILL_20150323_003093	Equip virtual weapon
SKILL_20150323_003094	维修 Armor
SKILL_20150323_003095	Companions is growling. Monster nearby may fall under Fear.
SKILL_20150323_003096	Elementalist: Resist
SKILL_20150323_003097	Carve Austras Koks: Pull
SKILL_20150323_003098	Pull 敌人 within range of [Carve Austras Koks]
SKILL_20150323_003099	Resist Elements: 抗性
SKILL_20150323_003100	When using [Resist Elements] 火, 冰, Lightning 属性 增加 by 5 每特性等级 以及 Poison, 地属性 减少 by 5 每特性等级
SKILL_20150323_003101	伤害 of [Meteor] is 强化d to Elementalist Circle 2.
SKILL_20150323_003102	伤害 of [Meteor] is 强化d to Elementalist Circle 3.
SKILL_20150323_003103	伤害 of [Prominence] is 强化d to Elementalist Circle 2.
SKILL_20150323_003104	伤害 of [Prominence] is 强化d to Elementalist Circle 3.
SKILL_20150323_003105	伤害 of [Hail] is 强化d to Elementalist Circle 2.
SKILL_20150323_003106	伤害 of [Hail] is 强化d to Elementalist Circle 3.
SKILL_20150323_003107	伤害 of [Electrocute] is 强化d to Elementalist Circle 2.
SKILL_20150323_003108	伤害 of [Electrocute] is 强化d to Elementalist Circle 3.
SKILL_20150323_003109	Swell Left Arm: 强化
SKILL_20150323_003110	伤害 of [Swell left Arm] 增加 每特性等级.
SKILL_20150323_003111	Swell Left Arm: 强化 2
SKILL_20150323_003112	攻击 of [Swell Left Arm] is 强化d to Thaumaturge Circle 2.
SKILL_20150323_003113	Swell Left Arm: 强化 3
SKILL_20150323_003114	攻击 of [Swell Left Arm] is 强化d to Thaumaturge Circle 3.
SKILL_20150323_003115	刺击: Bleed
SKILL_20150323_003116	Use [刺击] on stunned 敌人 for additional Bleed effect.
SKILL_20150323_003117	十字守护: Debuff
SKILL_20150323_003118	敌人 blocked by [十字守护] temporarily become vulnerable to stab 攻击.
SKILL_20150323_003119	火 Attribute: Explosion
SKILL_20150323_003120	Using 火 属性 攻击 to finsih 敌人 will cause explosion 以及 splash 伤害.
SKILL_20150323_003121	冰 属性: slowdown
SKILL_20150323_003122	Using 冰 属性 攻击 to finsih 敌人 will slow down nearby 敌人.
SKILL_20150323_003123	Deprotected Zone : Sword 攻击
SKILL_20150323_003124	Using sword 攻击 on 敌人 with [Depreotected Zone] dereases defense.
SKILL_20150401_003125	[Woodfung] 物理, Strike, Non-Attribute 攻击
SKILL_20150401_003126	[Velleg] 物理, Strike, 闇属性 攻击
SKILL_20150401_003127	Right-hand Pistol (Pistol exclusive)
SKILL_20150401_003128	{#DD5500}{ol}[物理] - [Hit]{/}{/}{nl}Use sword handle to smack 敌人.{nl}攻击 stunned 敌人 for additinal 伤害. 伤害 ignore bonus applies to small 以

及 medium sized monsters.
SKILL_20150401_003129	攻击 #{SkillAtkAdd}#{nl}Ingnore small, medium target defense #{CaptionRatio}#{nl}Splash #{SkillSR}#
SKILL_20150401_003130	{#DD5500}{ol}[物理] - [斩击]{/}{/}{nl}斩击 敌人 sidewards.{nl}攻击 敌人 under Bleed state for additional 伤害.
SKILL_20150401_003131	{#DD5500}{ol}[物理] - [Strike]{/}{/}{nl}Throw shield to 攻击. Shield falls on the ground 以及 must be picked up to reuse.
SKILL_20150401_003132	Change to stance using Shield. Block 以及 Critiacal 抗性 增加 but basic 攻击 减少.
SKILL_20150401_003133	Block + #{CaptionRatio}# {nl}Critical 抗性 + #{CaptionRatio2}# {nl}攻击 - #{CaptionTime}#%
