QUEST_LV_0200_20150317_000001	Philip's soldiers
QUEST_LV_0200_20150323_004984	The bishop, Aurelious asked you to collect the materials to create the demon transfroming scroll. Defeat the demons and collect the clothes.
QUEST_LV_0200_20150323_004985	Hand them over to the bishop, Aurelious
QUEST_LV_0200_20150323_004986	You've collected all the clothes of the demons. Return to the bishop, Aurelious.
QUEST_LV_0200_20150323_004987	You can see Orville who doesn't know what to do. Talk to Orville.
QUEST_LV_0200_20150323_004988	Search through Orville's friend
QUEST_LV_0200_20150323_004989	Orville told you that he lost his friend while being chased by the monsters. Find Orville's friend.
QUEST_LV_0200_20150323_004990	Orville's friend is dead. You should pass this sad story to Orville.
QUEST_LV_0200_20150323_004991	Go meet Tadas
QUEST_LV_0200_20150323_004992	Someone needs your help at the land of Areluno Baron. Go meet him.
QUEST_LV_0200_20150323_004993	Get some tough string
QUEST_LV_0200_20150323_004994	Tadas asked you to get some strings since there arent' many strings to tie the sacks of grains. Hunt the monsters to some strings.
QUEST_LV_0200_20150323_004995	Take the tough strings to him
QUEST_LV_0200_20150323_004996	You've obtained enough strings. Hand them over to Taas.
QUEST_LV_0200_20150323_004997	Obtain %s from the monsters
QUEST_LV_0200_20150323_004998	Obtain tough strings from the monsters
QUEST_LV_0200_20150323_004999	Talk to Tadas
QUEST_LV_0200_20150323_005000	Talk to Tadas
QUEST_LV_0200_20150323_005001	Listen to Tadas' request
QUEST_LV_0200_20150323_005002	Tadas told you that there is a place where he put the sacks of trashes. Go there and push them off the cliff.
QUEST_LV_0200_20150323_005003	Get rid of the sacks
QUEST_LV_0200_20150323_005004	You feel somewhat strange. You better open the sacks
QUEST_LV_0200_20150323_005005	Talk
QUEST_LV_0200_20150323_005006	A person came out from the sack! You don't feel good, but you should talk to him.
QUEST_LV_0200_20150323_005007	Try talking to him
QUEST_LV_0200_20150323_005008	What happened? A person came out from the sack which Tadas told you to push out from the cliff. You should talk to him to find out why he was in the sack.
QUEST_LV_0200_20150323_005009	Bring potato rice cakes
QUEST_LV_0200_20150323_005010	Auknews told you to find the food that he hid in the grass bushes. Seach through the grass bushes nearby.
QUEST_LV_0200_20150323_005011	Bring the food that you found
QUEST_LV_0200_20150323_005012	This dried bread seems to be what Auknews was looking for. Bring it to Auknews if that is what he was looking for.
QUEST_LV_0200_20150323_005013	Talk with Auknews
QUEST_LV_0200_20150323_005014	Talk with Auknews again
QUEST_LV_0200_20150323_005015	Auknews went home without listening from you. Tell this to Tadas first.
QUEST_LV_0200_20150323_005016	Meet Stephas
QUEST_LV_0200_20150323_005017	There is a person who needs your help at the land of Areluno Baron. Get closer to him and talk to him.
QUEST_LV_0200_20150323_005018	Get some poison of Scorpio
QUEST_LV_0200_20150323_005019	Stephas told you that he is making the nutritious tonic that would energize the villagers. It has to be diluted with the poison of Scorpio before the villagers consume it so get the poison from the marked place.
QUEST_LV_0200_20150323_005020	Bring the poison
QUEST_LV_0200_20150323_005021	You've obtained the poison of Scorpio. Now, bring this poison to Stephas.
QUEST_LV_0200_20150323_005022	Talk with Stephas
QUEST_LV_0200_20150323_005023	It seems that the nutritious tonic is well diluted. Talk to Stephas again.
QUEST_LV_0200_20150323_005024	Bring the nutritious tonic to the farmers
QUEST_LV_0200_20150323_005025	Stephas told you bring the nutritious tonic to Dalryus. Let's also bring the leaves of sweet herbs so he can eat more comfortably.
QUEST_LV_0200_20150323_005026	Hand over the medicine to Dalryus
QUEST_LV_0200_20150323_005027	Since you have sweer herb leaves now, hand the nutritious tonic to Dalryus
QUEST_LV_0200_20150323_005028	Talk with Dalryus
QUEST_LV_0200_20150323_005029	Tell Dalryus to consume the tonic
QUEST_LV_0200_20150323_005030	Go back to Stephas
QUEST_LV_0200_20150323_005031	You should report to Stephas that Dalyus has shown an irregular response after consuming the medicine!
QUEST_LV_0200_20150323_005032	Talk with Maryus
QUEST_LV_0200_20150323_005033	Maryus needs someone's help. Get closer to him and talk to him.
QUEST_LV_0200_20150323_005034	Hand over the normal rice cake to Dalryus
QUEST_LV_0200_20150323_005035	Maryus gave you the rice cake and told you to pass it to Dalryus. But, since the rice cake gets spoiled quickly these days, it is important that you pass him the normal rice cake. If the rice cake gets spoiled on your way to Dalryus, just throw it away and get the new one from Maryus again.
QUEST_LV_0200_20150323_005036	Take the rice cake to Dalryus
QUEST_LV_0200_20150323_005037	You successfully arrived near Dalryus by avoiding the rice cake getting spoiled! Hand over the cake to Dalryus.
QUEST_LV_0200_20150323_005038	Now, talk to Dalryus again.
QUEST_LV_0200_20150323_005039	Remove the strange trace
QUEST_LV_0200_20150323_005040	There were some strange things that were stuck into the ground as you were going to Dalryus from Maryus. It seems that they cause the food to get spoiled quickly. Let's try eliminating them on your way back to Maryus.
QUEST_LV_0200_20150323_005041	Return to Maryus
QUEST_LV_0200_20150323_005042	You've eliminated the things that were stuck into the ground. Tell this to Maryus.
QUEST_LV_0200_20150323_005043	Help Maryus
QUEST_LV_0200_20150323_005044	It seems that Mayus has lots of tasks to do. Help his tasks.
QUEST_LV_0200_20150323_005045	Retrieve the seeds
QUEST_LV_0200_20150323_005046	It seems that the monsters in the land of Areluno baron stole the seeds. Retrieve the pockets of the seeds from the monsters that appear from everywhere in the land of Areluno Baron.
QUEST_LV_0200_20150323_005047	Hand them over to Maryus
QUEST_LV_0200_20150323_005048	Take back the pockets of the seeds to Maryus
QUEST_LV_0200_20150323_005049	Retrieve %s from the monsters
QUEST_LV_0200_20150323_005050	Retrieve the pockets of the seeds from the monsters
QUEST_LV_0200_20150323_005051	Meet the one who needs your help
QUEST_LV_0200_20150323_005052	The one who needs your help is looking for you. Get closer to him and talk to him.
QUEST_LV_0200_20150323_005053	Check the irregular energy
QUEST_LV_0200_20150323_005054	Arunas, the secretary of the baron is checking the irregular energy in this region. Go to the place where Arunas pointed and check the irregular energy.
QUEST_LV_0200_20150323_005055	Report to Arunas
QUEST_LV_0200_20150323_005056	Tell Arunas that there's no problem at the place where Arunas mentioned
QUEST_LV_0200_20150323_005057	Talk with Arunas
QUEST_LV_0200_20150323_005058	Talk with Arunas
QUEST_LV_0200_20150323_005059	The tasks that Arunas ordered you to do
QUEST_LV_0200_20150323_005060	Arunas told you that you should block the strange energy in that place and gave you a few pieces of wooden sticks and a doll to be used for spells. Make the magic field at the place where the strange energy exists and burn the doll to block the energy.
QUEST_LV_0200_20150323_005061	Report to Arunas
QUEST_LV_0200_20150323_005062	You've created the magic field that eliminates the strange enery and burned the doll, but it seems that the crops are withering. Anyways, report to Arunas that you successfully created the magic field.
QUEST_LV_0200_20150323_005063	Meet the probationary magician
QUEST_LV_0200_20150323_005064	There is the probationary magician. Go talk to him.
QUEST_LV_0200_20150323_005065	Enhance the magic field
QUEST_LV_0200_20150323_005066	Would the attitude of Rimas change after you enhance the magic fields at each side?
QUEST_LV_0200_20150323_005067	Report to Rimas
QUEST_LV_0200_20150323_005068	You successfully enhanced the two magic fields. Tell this to Rimas.
QUEST_LV_0200_20150323_005069	Look closely at the magic fields
QUEST_LV_0200_20150323_005070	Look closely at the magic fields first in order to eliminate the strange energy
QUEST_LV_0200_20150323_005071	Eliminate the protective jewel
QUEST_LV_0200_20150323_005072	As you were looking closely at the magic field, the objects which resemble jewels came out from the lower side of the magic field and scattered to various places nearby. It seems that they were protecting the strange energy. It seems that the magic field would be enhanced when you break those jewels.
QUEST_LV_0200_20150323_005073	Enhance the magic field
QUEST_LV_0200_20150323_005074	You've collected all the energies of the monsters into the empty bottles. Now, sprinkle the energies of the monsters to the magic field.
QUEST_LV_0200_20150323_005075	Get closer to the magic field and find out why the magic field is not stable.
QUEST_LV_0200_20150323_005076	Collect the energies of the monsters into the bottles and bury them under each side of the magic field.
QUEST_LV_0200_20150323_005077	When you bury the bottles at each side of the magic field after putting the energies of the monsters into them, the sealed magic field will be enhanced.
QUEST_LV_0200_20150323_005078	Talk to Rimas
QUEST_LV_0200_20150323_005079	Talk to Rimas
QUEST_LV_0200_20150323_005080	Protect the storage
QUEST_LV_0200_20150323_005081	The monsters sometimes steal from the storage that contains the fuel of the power generator behind. Help Rimas.
QUEST_LV_0200_20150323_005082	You've defeated the monsters that were about to attack the storage. Go to Rimas and tell him about it.
QUEST_LV_0200_20150323_005083	Defeat the monsters that are trying to attack the storage
QUEST_LV_0200_20150323_005084	Get near to the magic field and look closely into it.
QUEST_LV_0200_20150323_005085	Explain to Rimas about the situation
QUEST_LV_0200_20150323_005086	The magic field is vibrating stragely. Report Rimas about this.
QUEST_LV_0200_20150323_005087	Sprinkle the poison to the magic field
QUEST_LV_0200_20150323_005088	Take the poison bottle that Rimas gave to you and go to the magic field to sprinkle it. I don't understand why the vicious energy of the monsters enhance the magic field, but get some more information by doing as Rimas told you to do so.
QUEST_LV_0200_20150323_005089	The magic field will now be enhanced since you sprinkled the poison onto it. Go there and take a look at it.
QUEST_LV_0200_20150323_005090	Defeat the monsters that rushed in to the magic field
QUEST_LV_0200_20150323_005091	As you were about to enhance the magic field, the monsters suddenly rushed in! It seems that it's due to the poison that was sprinkled onto the magic field. Defeat the monsters first.
QUEST_LV_0200_20150323_005092	Defeat the monsters that rushed in after smelling it
QUEST_LV_0200_20150323_005093	There seems to be an unstable magic field. Enhance the magic field before the strange energy spreads anymore.
QUEST_LV_0200_20150323_005094	Absorb the monsters
QUEST_LV_0200_20150323_005095	In order to enhance the magic field, you should bring the monsters near the magic field. Bring the monsters that are alive.
QUEST_LV_0200_20150323_005096	Talk to the man
QUEST_LV_0200_20150323_005097	There is a man standing who seems to be related to the baron. Talk to him.
QUEST_LV_0200_20150323_005098	Go there by bringing the meats
QUEST_LV_0200_20150323_005099	
QUEST_LV_0200_20150323_005100	Report to Venews
QUEST_LV_0200_20150323_005101	Tell Venews that Mentiken was disapppeared since he was trying to eat humans.
QUEST_LV_0200_20150323_005102	Observe the suspicious place
QUEST_LV_0200_20150323_005103	You can see half of the head from the statue of the goddess is buried in the ground. The statue of the goddess in this place.. Go there and and dig it.
QUEST_LV_0200_20150323_005104	Dig the head of the statue of the goddess
QUEST_LV_0200_20150323_005105	It is strange that the head of the statue is in this place. Try digging it.
QUEST_LV_0200_20150323_005106	Obtain the information of the object
QUEST_LV_0200_20150323_005107	The thing that was buried under the ground was not the statue of the goddess, but in fact the head part. You better tell this to someone.
QUEST_LV_0200_20150323_005108	Open the alcohol box
QUEST_LV_0200_20150323_005109	It is strange that the alcohol container is in that location. Get closer to it and open it.
QUEST_LV_0200_20150323_005110	Break the alcohol container
QUEST_LV_0200_20150323_005111	As you were about to open the alcohol container, monsters appeared and tried to disturb! Avoid the attacks from the monsters and break the container within a time frame and open it!
QUEST_LV_0200_20150323_005112	Look for a person who would find the clues
QUEST_LV_0200_20150323_005113	You've found pieces that seemed to be belong to the upper body of the small statue from the broken container. Bring this to someone to find out the true nature of it.
QUEST_LV_0200_20150323_005114	Look closely at the wooden alcohol container
QUEST_LV_0200_20150323_005115	The wooden container seems irregular. Get closer to it and look at it.
QUEST_LV_0200_20150323_005116	Make a wooden hammer
QUEST_LV_0200_20150323_005117	It's hard to open the alcohol container. You've heard before that the wooden containers like this should be opened with a wooden hammer. Look for the materials to make a wooden hammer nearby.
QUEST_LV_0200_20150323_005118	Look for clues
QUEST_LV_0200_20150323_005119	You need a person who would listen about the pieces of the stone statue that were discovered in the alcohol container. Look for that person and ask him about it.
QUEST_LV_0200_20150323_005120	Look closely at the wing that is stuck on the ground
QUEST_LV_0200_20150323_005121	Something that resembles a wing is stuck on the ground. Get closer to it to look at it.
QUEST_LV_0200_20150323_005122	The wing that was stuck on the ground belonged to Corrupted. Defeat Corrupted.
QUEST_LV_0200_20150323_005123	Obtain some clues from the wings
QUEST_LV_0200_20150323_005124	There may be a person who knows about the small wing piece that you obtained from Corrupted. Find that person and show this piece to him.
QUEST_LV_0200_20150323_005125	Talk to Yoana
QUEST_LV_0200_20150323_005126	Yoana took all the things that you collected before. Ask Yoana about those.
QUEST_LV_0200_20150323_005127	Obtain stick liquid
QUEST_LV_0200_20150323_005128	Yoana told you that in order to glue those stone statues, she needs something sticky. Get something that is sticky from the monsters.
QUEST_LV_0200_20150323_005129	Take it to Yoana
QUEST_LV_0200_20150323_005130	Take the sticky liquid that you obtained from the monsters to Yoana
QUEST_LV_0200_20150323_005131	Obtain %s from the monsters
QUEST_LV_0200_20150323_005132	Obtain the sticky liquid from the monsters
QUEST_LV_0200_20150323_005133	Meet Yoana
QUEST_LV_0200_20150323_005134	It seems that Yoana has some tasks to do. Get closer to her and ask her what's the matter.
QUEST_LV_0200_20150323_005135	The verification of the strange energy
QUEST_LV_0200_20150323_005136	There's some energy coming out from the specific place, and Yoana wants to find out what that is. Decrease the Monster's HP into the half and talk to the magic field to see what happens.
QUEST_LV_0200_20150323_005137	Report to Yoana
QUEST_LV_0200_20150323_005138	It seems that the energy is not negative since you can see the monsters disappearing. Tell this to Yoana.
QUEST_LV_0200_20150323_005139	Talk with Yonaras
QUEST_LV_0200_20150323_005140	Someone seems have many things to do here. Get closer to him and find out if he has some information that you would be able to obtain.
QUEST_LV_0200_20150323_005141	Burn the magic field
QUEST_LV_0200_20150323_005142	Let's eliminate the magic field using the monsters near the magic field. If you throw the burning monsters into the magic field, don't you think the magic field would also burn?
QUEST_LV_0200_20150323_005143	Report to Yonaris
QUEST_LV_0200_20150323_005144	Tell Yonaris that you successfully eliminated the sealed magic field.
QUEST_LV_0200_20150323_005145	Talk to Yonaris
QUEST_LV_0200_20150323_005146	It seems that Yonaris has a plan to eliminate the magic field at the other place. Get close to him and listen to his plan.
QUEST_LV_0200_20150323_005147	Get the statue of the goddess and put it on the magic field
QUEST_LV_0200_20150323_005148	Yonaris told you that in order to eliminate the magic field, the mighty power of the goddesses would be enough. Check whether the pieces of the statue are well glued together and try putting it on the magic field.
QUEST_LV_0200_20150323_005149	Report to Yonaris
QUEST_LV_0200_20150323_005150	The magic field has been successfully removed and the sprouts started to grow from the fields beside! Tell this to Yonaris.
QUEST_LV_0200_20150323_005151	Meet Jugas
QUEST_LV_0200_20150323_005152	There is a farmer who needs your help. Get closer to him and meet.
QUEST_LV_0200_20150323_005153	Retrieve the seeds
QUEST_LV_0200_20150323_005154	Jugas is saying that it seems the monsters here took away the seeds that are needed for farming here. Collect the seeds from the monsters nearby and send them to Jugas.
QUEST_LV_0200_20150323_005155	Hand them over to Jugas
QUEST_LV_0200_20150323_005156	You actually don't know well, but take the things that you retrieved from the monsters to Jugas.
QUEST_LV_0200_20150323_005157	Retrieve the seeds from the monsters
QUEST_LV_0200_20150323_005158	Talk to Horaceus
QUEST_LV_0200_20150323_005159	Horaceus seems to have something to request to you. Get closer to him and talk to him.
QUEST_LV_0200_20150323_005160	Get some wooden sticks
QUEST_LV_0200_20150323_005161	Horaceus told you that in order to make some things to prepare for the big task, he needs lots of wooden sticks. Obtain some wooden sticks from the fences nearby.
QUEST_LV_0200_20150323_005162	Take them to Horaceus
QUEST_LV_0200_20150323_005163	You've obtained some wooden sticks. Take the sticks to Horaceus.
QUEST_LV_0200_20150323_005164	Collaborate with Horaceus
QUEST_LV_0200_20150323_005165	Talk to Horaceus to help him what he is preparing
QUEST_LV_0200_20150323_005166	Obtain hard stones
QUEST_LV_0200_20150323_005167	Let's collect some stones to help Horaceus' big task. You can get them from the monsters.
QUEST_LV_0200_20150323_005168	Hand them over to Horaceus
QUEST_LV_0200_20150323_005169	Take the stones that you obtained from the monsters to Horaceus
QUEST_LV_0200_20150323_005170	Help Horaceus
QUEST_LV_0200_20150323_005171	It seems that Horaceus has some requests to you. Talk to him.
QUEST_LV_0200_20150323_005172	Collect some poison from the monsters
QUEST_LV_0200_20150323_005173	Horaceus told you that he needs some poison to rub on the end of the wooden sticks. Put the pots that he gave to you and lure the monsters to get some poison.
QUEST_LV_0200_20150323_005174	Hand over the poison of the monsters
QUEST_LV_0200_20150323_005175	Take the poison of the monsters to Horaceus
QUEST_LV_0200_20150323_005176	Ask Horaceus if there's anything you could help for the supply of the weapons
QUEST_LV_0200_20150323_005177	Obtain farming tools
QUEST_LV_0200_20150323_005178	Horaceus told you that he needs lots of farming tools that will be used as weapons. He can't move since he is changing those tools into the weapons, so ask the farmers nearby whether you could get some tools from them.
QUEST_LV_0200_20150323_005179	Take the farming tools to Horaceus
QUEST_LV_0200_20150323_005180	You've obtained the farming tools from the farmers after persuading them. Now, take them to Horaceus.
QUEST_LV_0200_20150323_005181	Talk to Tauras
QUEST_LV_0200_20150323_005182	Listen to what the other farmers have to say
QUEST_LV_0200_20150323_005183	Pull out dandelions
QUEST_LV_0200_20150323_005184	Tauras is in charge of supplying the food for the big task. To help his task, let's get some dandelions from xx region. When you pull out the dandelions, keep in mind that you also need their roots.
QUEST_LV_0200_20150323_005185	Hand over the dandelions to Tauras
QUEST_LV_0200_20150323_005186	You've obtained enough dandelions, so now take them to Tauras
QUEST_LV_0200_20150323_005187	It seems that Tauras has another request in order to store the food. Talk to him.
QUEST_LV_0200_20150323_005188	Make beef jerky
QUEST_LV_0200_20150323_005189	You should make beef jerkies which can be stored for a long time in order to fight for stably. Hunt the monsters to get their meats and put them in the drier to make beef jerkies.
QUEST_LV_0200_20150323_005190	Hand over the beef jerkies
QUEST_LV_0200_20150323_005191	The beef jerkies are prepared. Take those to Tauras.
QUEST_LV_0200_20150323_005192	Obtain some meats
QUEST_LV_0200_20150323_005193	It seems that Tauras has some request to you. Listen to his request.
QUEST_LV_0200_20150323_005194	Defeat the monsters that are trying to steal from the food storage
QUEST_LV_0200_20150323_005195	The farmers told you that the storage where the foods are stored gets stolen frequently by the monsters these days. Go check the storage.
QUEST_LV_0200_20150323_005196	Report to Tauras
QUEST_LV_0200_20150323_005197	As you expected, the storage was about to be attacked by the monsters. Tell Tauras that you've defeated all the monsters.
QUEST_LV_0200_20150323_005198	Defeat the monsters that were about the attack the storage
QUEST_LV_0200_20150323_005199	Meet Albina
QUEST_LV_0200_20150323_005200	Someone may need your help. Get closer to him and talk to him.
QUEST_LV_0200_20150323_005201	Talk to Albina
QUEST_LV_0200_20150323_005202	Talk to Albina
QUEST_LV_0200_20150323_005203	Talk to Albina about the reconstruction of the Tenants' farm.
QUEST_LV_0200_20150323_005204	Listen to Albina about the reconstruction of the Tenants' farm.
QUEST_LV_0200_20150323_005205	The recovery of the altar
QUEST_LV_0200_20150323_005206	There is something across the fences that are pushing the altar of the goddesses. Break the fences and eliminate the obstacle to the reconstruction of this region.
QUEST_LV_0200_20150323_005207	Report to Albina
QUEST_LV_0200_20150323_005208	Tell Albina that you've defeated Kirumellichi that was pushing down the altar.
QUEST_LV_0200_20150323_005209	Discuss with Albina
QUEST_LV_0200_20150323_005210	Discuss whether there's anything you can do to help the reconstruction of Tenants' farm.
QUEST_LV_0200_20150323_005211	Remove the seal magic field
QUEST_LV_0200_20150323_005212	The seal magic field has been discovered at XX region. But, if you touch the seal magic field, you will receive some damages due to the effects of the magic field. Throw the hard, black stones that Albina gave to you and break the seal magic field.
QUEST_LV_0200_20150323_005213	Report to Albina
QUEST_LV_0200_20150323_005214	You've eliminated the seal magic field successfully. Tell Albina about it.
QUEST_LV_0200_20150323_005215	Discuss with Albina
QUEST_LV_0200_20150323_005216	Talk to Albina about the reconstruction of the Tenants' farm. It seems that there's something that she needs to request to you.
QUEST_LV_0200_20150323_005217	Break the magic field
QUEST_LV_0200_20150323_005218	You would be able to restore this region to its previous state if you break the magic field. Break the magic field in this region.
QUEST_LV_0200_20150323_005219	You've eliminated the magic field in this region! Tell this to Albina!
QUEST_LV_0200_20150323_005220	Eliminate the seal magic field
QUEST_LV_0200_20150323_005221	Discuss with Horaceus
QUEST_LV_0200_20150323_005222	It seems that Horaceus has somthing to discuss with you. Go meet him.
QUEST_LV_0200_20150323_005223	Distribute the joint signature seal
QUEST_LV_0200_20150323_005224	The day which Horaceus had planned is near. The last thing to do is to receive the consent from the farmer in Tenants' farm. Get their signature on the hand written letter of Horaceus and the joint signature seal that he gave to you. You should receive the signature from eight of them.
QUEST_LV_0200_20150323_005225	Hand over the joint signature seal
QUEST_LV_0200_20150323_005226	You've obtained their signatures on the joint signature seal! Now pass it to Horaceus.
QUEST_LV_0200_20150323_005227	Collect the samples of the demons that are needed for the research
QUEST_LV_0200_20150323_005228	The disciple Benedict is researching to find out the way to remove the curse of Naktis. Obtain the samples of the demons for Benedict.
QUEST_LV_0200_20150323_005229	You've collected all samples of the demons. Hand them over to the disciple, Benedict.
QUEST_LV_0200_20150323_005230	Obtain %s by defeating Collifly
QUEST_LV_0200_20150323_005231	Collect the samples of the demons
QUEST_LV_0200_20150323_005232	The disciple, Benedict thinks that his theory might be wrong so he asked you to get the samples of other demons. Collect the samples the demons.
QUEST_LV_0200_20150323_005233	Obtain %s by defeating Loftlem
QUEST_LV_0200_20150323_005234	The disciple, Goda seems to have lots of complaints. Talk to the disciple, Prosit.
QUEST_LV_0200_20150323_005235	Defeat the demons that are ruining the great cathedral
QUEST_LV_0200_20150323_005236	The disciple, Prosit can't forgive the demons that are ruining the great cathedral. Defeat the demons on behalf of the disciple, Prosit.
QUEST_LV_0200_20150323_005237	You've defeated many demons. Talk to the disciple, Prosit.
QUEST_LV_0200_20150323_005238	Talk to Gitise
QUEST_LV_0200_20150323_005239	You can see Gitise who is worried a lot at the settlement land of Gitese. Talk with Gitese.
QUEST_LV_0200_20150323_005240	Ask for help from Pyromancer Master at 克拉佩达
QUEST_LV_0200_20150323_005241	Gitese told you that the workers at the settlement land were attacked by the monsters and they are sick. Talk to Pyromance Master to get his help.
QUEST_LV_0200_20150323_005242	Pyromancer Master told you that he will definitely help you. Talk to Pyromancer Master again.
QUEST_LV_0200_20150323_005243	Collect the samples of pink Chuparukas at the settlement land
QUEST_LV_0200_20150323_005244	Pyromancer Master told you that he will definitely help you. First get some samples of pink Chuparukas at the settlement land.
QUEST_LV_0200_20150323_005245	Hand it over to Pyromancer Master
QUEST_LV_0200_20150323_005246	You've obtained the samples of pink Chuparukas. Hand them over to Pyromancer Master.
QUEST_LV_0200_20150323_005247	Obtain %s from the settlement land
QUEST_LV_0200_20150323_005248	Pyromancer Master who was investigating the samples of the monsters doesn't feel good about something. Talk to Pyromancer Master.
QUEST_LV_0200_20150323_005249	Search for the clues of the massive chaos at the settlement land
QUEST_LV_0200_20150323_005250	Pyromancer Master can feel some unknown poison and the spell. Go back to the settlement land and find out the true nature of the poison and the spell.
QUEST_LV_0200_20150323_005251	You've found a leather and a dagger with the magic field drawn in them at Nuodo Bank. Take them to Pyromancer Master.
QUEST_LV_0200_20150323_005252	Destroy the unknown altar
QUEST_LV_0200_20150323_005253	Unfortunately, Pyromancer Master doesn't know well about the spell. Talk to Pyromancer Master again.
QUEST_LV_0200_20150323_005254	Talk to Bokor Master about the true nature of the spell.
QUEST_LV_0200_20150323_005255	Bokor Master knows well about the spells. Ask Bokor Master about the true nature of the spells.
QUEST_LV_0200_20150323_005256	Bokor Master told you that the spell spreads the poison that is on the the dagger. But, he told you that he doesn't know well about the dagger so told you to meet Ranger Master.
QUEST_LV_0200_20150323_005257	Talk to Gitise
QUEST_LV_0200_20150323_005258	Use the antidote
QUEST_LV_0200_20150323_005259	Cure the people who is suffering from the massive explosion using the antidote
QUEST_LV_0200_20150323_005260	Talk to Pyromancer Master
QUEST_LV_0200_20150323_005261	Talk to Creomancer Master
QUEST_LV_0200_20150323_005262	Talk to the soldier, Denise
QUEST_LV_0200_20150323_005263	You can see Denise who looks to be troubled. Talk to Denise.
QUEST_LV_0200_20150323_005264	Defeat the monsters at the joint harvesting area
QUEST_LV_0200_20150323_005265	Denise told you that the other soldiers went out to defeat Gorgon so it's hard to defeat the monsters that are in the farm. Defeat the monsters in the joint harvesting area.
QUEST_LV_0200_20150323_005266	You've defeated the monsters at the joint harvesting area. Go back to Denise and talk to him.
QUEST_LV_0200_20150323_005267	Defeat the monsters at the farmland
QUEST_LV_0200_20150323_005268	Denise still feels something's not right. Talk to Denise.
QUEST_LV_0200_20150323_005269	Talk to Alan
QUEST_LV_0200_20150323_005270	Denise is worried about Alan who is protecting the entrance of the farm alone. Go to the entrance and support Alan.
QUEST_LV_0200_20150323_005271	You've blocked against the monsters well. Go back to Denise and talk to him.
QUEST_LV_0200_20150323_005272	Denise is still worried about something. Listen what's the matter.
QUEST_LV_0200_20150323_005273	Look for the soldiers who went out to defeat Gorgon
QUEST_LV_0200_20150323_005274	Look for the soldiers who went out to defeat Gorgon. They are headed to Ishijiti herbal fields.
QUEST_LV_0200_20150323_005275	You've defeated the Gorgon that was chasing after the colleagues of Denise. Tell this to Denise.
QUEST_LV_0200_20150323_005276	Defeat Gorgon
QUEST_LV_0200_20150323_005277	Talk to Louise
QUEST_LV_0200_20150323_005278	Louise needs your help. Talk to Louise near the Louise Farm.
QUEST_LV_0200_20150323_005279	Defeat Ridimed at Louise Farm
QUEST_LV_0200_20150323_005280	Louise told you that he can't work at all due to Ridimed that came into his farmland. Defeat Ridimed at Louise farmland.
QUEST_LV_0200_20150323_005281	You've defeated many Ridimeds. Report to Louise.
QUEST_LV_0200_20150323_005282	Defeat Ridimed at Louise Farm
QUEST_LV_0200_20150323_005283	Louise told you that he defeated the monsters for now, but he is more worried about the future. Talk to Louise.
QUEST_LV_0200_20150323_005284	Collect the woods to make fences
QUEST_LV_0200_20150323_005285	Louise asked you to help him since he wants to make the fences. Bring the woods from the land where settlement is planned.
QUEST_LV_0200_20150323_005286	Report to Louise
QUEST_LV_0200_20150323_005287	You've selected decent woods. Hand them over to Louise.
QUEST_LV_0200_20150323_005288	Louise made the fences within a short period of time with the woods. Talk to Louise again.
QUEST_LV_0200_20150323_005289	Set the fences on the farmland of Louise
QUEST_LV_0200_20150323_005290	Louise told you that there are still many monsters so asked you to set the completed fences. Set the fences on the farm land of Louise.
QUEST_LV_0200_20150323_005291	You've set the all the fences. Talk to Louise.
QUEST_LV_0200_20150323_005292	Obtain %s that will be used as the materials for the scracrow
QUEST_LV_0200_20150323_005293	Obtain the materials that are lacking by defeating the monsters
QUEST_LV_0200_20150323_005294	It seems that something is not going well for Gares. Talk to Gares.
QUEST_LV_0200_20150323_005295	Collect the samples of Shakmoli
QUEST_LV_0200_20150323_005296	Gares told you that the rate at the crops are growing is not fast so he wants to know why. Please obtain the samples of orange Shakmolis.
QUEST_LV_0200_20150323_005297	Hand them over to Gares
QUEST_LV_0200_20150323_005298	You've obtained the samples of Shakmolis. Hand them over to Gares.
QUEST_LV_0200_20150323_005299	Talk to Gares
QUEST_LV_0200_20150323_005300	Gares found something from the samples. Talk to Gares.
QUEST_LV_0200_20150323_005301	Retrieve the monster suppressing device
QUEST_LV_0200_20150323_005302	Gares told you that the device which suppresses the proliferation of the monsters also influenced the crops. Retrieve the device.
QUEST_LV_0200_20150323_005303	You've retrieved the device. Report to Gares.
QUEST_LV_0200_20150323_005304	Talk to Asta
QUEST_LV_0200_20150323_005305	Go meet Asta at Aqueduct restricted area.
QUEST_LV_0200_20150323_005306	Talk to the demon lord, Haubuck
QUEST_LV_0200_20150323_005307	The demon lord, Haubuck whose spirit was inside Asta appeared. Haubuck told you that he knows where the goddess, Vakarine is. Ask him the location of the goddess, Vakarine.
QUEST_LV_0200_20150323_005308	You've found that the goddess, Vakarine is in trouble. Haubuck told you that if you could take him to the demons' prison that is across the portal, he will cooperate with you so that you could meet Vakarine. Listen for more details from Haubuck.
QUEST_LV_0200_20150323_005309	Listen to the plan of Haubuck
QUEST_LV_0200_20150323_005310	Enter the 1st district of the demons' prison
QUEST_LV_0200_20150323_005311	You've completed the contract with Haubuck. He is going to travel with you until you find Vakarine. Now, go to the 1st district in the demons' prison with Haubuck!
QUEST_LV_0200_20150323_005312	Talk to the spirit of Haubuck
QUEST_LV_0200_20150323_005313	Talk to the spirit of Haubuck
